Date,AveragePricePerUnit,TotalVolume,TotalBags,SmallBags,LargeBags,XLargeBags,type,region
12/27/2015,0.83,5291979.63,1410681.68,838267.79,567269.76,5144.13,conventional,West
12/20/2015,0.88,4737649.03,1274757.19,843691.13,417746.45,13319.61,conventional,West
12/13/2015,0.85,4899439.92,1370013.83,851506.76,517936.19,570.88,conventional,West
12/6/2015,0.75,6202513.84,1945832.15,1360760.83,582846.33,2224.99,conventional,West
11/29/2015,0.99,3719603.21,936710.91,688674,247318.15,718.76,conventional,West
11/22/2015,0.92,4481990.34,1226467.77,730580.48,494585.14,1302.15,conventional,West
11/15/2015,0.83,5972493.77,1792437.92,1080985.7,699956.7,11495.52,conventional,West
11/8/2015,0.88,5094837.54,1114328.4,770544.02,341544.79,2239.59,conventional,West
11/1/2015,0.9,5024858.14,1139428.49,717110.41,421675.08,NA,conventional,West
10/25/2015,0.95,4945835.54,1246073.81,823727.52,420764.79,NA,conventional,West
10/18/2015,0.89,5413532.64,1119504.06,689893.69,429405.37,NA,conventional,West
10/11/2015,0.91,5534450.99,1354079.39,947888.97,402360.11,NA,conventional,West
10/4/2015,1,4895485.63,968402.49,630337.33,336994.14,NA,conventional,West
9/27/2015,0.97,4792868.29,975941.51,669128.89,306758.91,NA,conventional,West
9/20/2015,0.92,5596091.03,1093844.42,751408.06,342166.04,NA,conventional,West
9/13/2015,0.92,5811260.29,1162462.36,733843.93,428556.23,NA,conventional,West
9/6/2015,0.93,5900751.95,1006861.26,696240.23,310568.88,NA,conventional,West
8/30/2015,1.03,5138256.91,864029.01,624782.63,239195.91,NA,conventional,West
8/23/2015,1.04,5197578.46,874951.19,709163.29,165723.93,NA,conventional,West
8/16/2015,0.98,5718139.41,926273.57,685992.88,240262.17,NA,conventional,West
8/9/2015,1.01,5531488.2,958695.11,667604.38,291065.47,NA,conventional,West
8/2/2015,1.02,5451040.76,897635.9,643461.37,254166.11,NA,conventional,West
7/26/2015,1.07,5126588.84,911220.95,645013.13,266207.82,NA,conventional,West
7/19/2015,1.04,5525298.95,1008593.49,665157.51,343389.61,NA,conventional,West
7/12/2015,1.01,5791508.96,1019569.43,731843.74,286270.91,NA,conventional,West
7/5/2015,0.98,6749081.2,959673.43,767183.44,192422.82,NA,conventional,West
6/28/2015,1.03,5617752.22,900452.87,719727.54,180618.1,NA,conventional,West
6/21/2015,0.93,6478952.08,977615.26,807805.78,167640.78,NA,conventional,West
6/14/2015,0.92,6760001.68,991775.64,776961.13,214729.56,NA,conventional,West
6/7/2015,0.92,6669221.29,952727.66,683695.78,269005.35,NA,conventional,West
5/31/2015,0.93,5874982.36,815978.6,665541.84,150400.52,NA,conventional,West
5/24/2015,0.93,6139159.81,775856.93,678849.33,96785.62,NA,conventional,West
5/17/2015,0.98,5338992.15,789666.35,608751.49,180702.04,NA,conventional,West
5/10/2015,0.94,6323724.8,897528.34,678316.72,218968.93,NA,conventional,West
5/3/2015,0.89,6937095.53,799141.73,611906.54,186891.82,NA,conventional,West
4/26/2015,0.9,6013312.36,748954.66,614556.77,133326.4,NA,conventional,West
4/19/2015,0.88,6612422.28,849213.4,608287.23,240723.48,NA,conventional,West
4/12/2015,0.98,5609471.36,676640.15,469624.9,206981.28,NA,conventional,West
4/5/2015,0.95,5929718.67,682107.98,544939.22,135414.81,NA,conventional,West
3/29/2015,0.93,5719898.26,639277.96,508576.86,130691.45,NA,conventional,West
3/22/2015,0.99,5368331.44,591547.44,515038.9,76495.68,NA,conventional,West
3/15/2015,0.94,5572582.45,622778.46,535269.21,87496.38,NA,conventional,West
3/8/2015,0.99,5382693.51,623079.09,524272.88,98774.76,NA,conventional,West
3/1/2015,0.95,5840742.83,686342.51,590705.71,95603.25,NA,conventional,West
2/22/2015,0.95,5939402.98,764383.7,587462.99,176871.66,NA,conventional,West
2/15/2015,0.98,5026688.71,611581.91,542973.12,68521.88,NA,conventional,West
2/8/2015,0.89,5949846.14,705601.43,579412.5,126120.73,NA,conventional,West
