Date,AveragePricePerUnit,TotalVolume,TotalBags,SmallBags,LargeBags,XLargeBags,type,region
9/18/2016,1.45,3442454.03,1076533.24,1009926.82,66387.53,218.89,conventional,Northeast
9/11/2016,1.28,4456957.62,1095668.73,1028147.48,67007.79,513.46,conventional,Northeast
9/4/2016,1.4,4019648.55,1176090.81,1109685.27,62681.63,3723.91,conventional,Northeast
8/28/2016,1.4,4309301.79,1254911.76,1164225.11,71526.98,19159.67,conventional,Northeast
8/21/2016,1.4,4127080.33,1502401.58,1384984.59,97632.72,19784.27,conventional,Northeast
8/14/2016,1.37,4195423.29,1514437.83,1435534.01,63918.41,14985.41,conventional,Northeast
8/7/2016,1.47,4024822.13,1414742.47,1335096.5,58406.29,21239.68,conventional,Northeast
7/31/2016,1.6,3813808.25,1317881.89,1265795.04,33486.76,18600.09,conventional,Northeast
7/24/2016,1.54,3834290.51,1377239.24,1287855.02,36043.62,53340.6,conventional,Northeast
7/17/2016,1.49,3736814.35,1341621.87,1208291.71,68637.43,64692.73,conventional,Northeast
7/10/2016,1.33,4487625.78,1481861.21,1316229.18,107324.46,58307.57,conventional,Northeast
7/3/2016,1.41,4486744.99,1483443.88,1330833.02,82816.01,69794.85,conventional,Northeast
6/26/2016,1.28,4840949.87,1343840.97,1233605.4,78613.54,31622.03,conventional,Northeast
6/19/2016,1.4,4506892.62,1269406.03,1164066.13,74863.78,30476.12,conventional,Northeast
6/12/2016,1.34,4599028.54,1357738.11,1246079.71,80946.35,30712.05,conventional,Northeast
6/5/2016,1.35,4570515.87,1347827.99,1235470.33,92633.24,19724.42,conventional,Northeast
5/29/2016,1.14,5141314.86,1231915.82,1104419.55,117666.65,9829.62,conventional,Northeast
5/22/2016,1.14,4609250.24,1267810.23,1193559.27,60109.83,14141.13,conventional,Northeast
11/22/2015,1.81,23612,6983.39,6649.37,334.02,NA,organic,Southeast
11/15/2015,1.75,30790.79,13697.71,13393.92,303.79,NA,organic,Southeast
11/8/2015,1.73,32091.23,14994.51,14059.58,934.93,NA,organic,Southeast
11/1/2015,1.73,29978.74,13720.89,12660.01,1060.88,NA,organic,Southeast
10/25/2015,1.78,29706.6,11444.54,11094.73,349.81,NA,organic,Southeast
10/18/2015,1.91,29054.81,11078.36,9871.25,1207.11,NA,organic,Southeast
10/11/2015,1.78,33922.49,15369.73,12302.74,3066.99,NA,organic,Southeast
10/4/2015,1.84,31299.72,12500.56,10505.17,1995.39,NA,organic,Southeast
9/27/2015,2.01,22416.55,5567.25,5374.98,192.27,NA,organic,Southeast
9/20/2015,1.92,27123.43,10136.52,10096.87,39.65,NA,organic,Southeast
9/13/2015,1.95,25470.62,8007.92,7672.74,335.18,NA,organic,Southeast
9/6/2015,1.9,30582.99,11817.46,11330.12,487.34,NA,organic,Southeast
8/30/2015,1.74,33530.11,14852.33,12185.97,2666.36,NA,organic,Southeast
8/23/2015,1.71,37578.78,16678.81,12973,3705.81,NA,organic,Southeast
8/16/2015,1.75,36529.07,17569.88,16882.57,687.31,NA,organic,Southeast
8/9/2015,1.9,29598.14,9759.25,8916.47,842.78,NA,organic,Southeast
8/2/2015,1.88,28234.61,10469.92,8399.35,2070.57,NA,organic,Southeast
7/26/2015,1.67,33855.61,16425.49,13022.52,3402.97,NA,organic,Southeast
7/19/2015,1.53,35667.73,20240.78,14690.68,5550.1,NA,organic,Southeast
7/12/2015,1.72,37288.73,22205.45,18521.62,3683.83,NA,organic,Southeast
7/5/2015,1.72,27947.09,9734.17,6809.6,2924.57,NA,organic,Southeast
6/28/2015,1.74,29549.92,8173.95,4887.11,3286.84,NA,organic,Southeast
6/21/2015,1.88,25842.76,5287.23,4198.25,1088.98,NA,organic,Southeast
6/14/2015,1.87,27578.12,7581.35,6625.22,956.13,NA,organic,Southeast
6/7/2015,1.75,30089.62,10145.26,8480.4,1664.86,NA,organic,Southeast
5/31/2015,1.81,29247.9,9793.93,8480.37,1313.56,NA,organic,Southeast
